"Table 4 | Home range overlap of within and among sexes between individuals using 100% MCPs at Stone Canyon. Male:Male overlap occurred in only two pairs of male home ranges, M14:M69 and M119:M215 at 0.5 and 19.5 ha. respectivley, and were therefore not included in the table. Net overlap is total area contributing to overlap independent of that area shared by by multiple lizards. Proportion is the proportion of yearly home range area of inidviduals shared with other lizards. There was considerable female home range  overlap with other females as well as with male home ranges.",,,,,,,,,,,,,,,,,"Table 5 | Home range overlap of within and among sexes between individuals using 100% MCPs at Owl Head Buttes. Female:Female overlap occurred in only one pair, 15:17 at 0.03 ha. and were therefore not included in the table. Net overlap is total area contributing to overlap independent of that area shared by by multiple lizards. Proportion is the proportion of yearly home range area of inidviduals shared with other lizards. There was considerable male:male home range overlap contrasting the patterns of overlap at Stone Canyon.",,,,,,,,,,
ID,F36,F66,F104,F135,F137,F146,F147,,M14,M67,M69,M112,M119,M215,M255,,ID,10,11,12,2,4,8,,13,15,17
Female:Female,,,,,,,,Male:Female,,,,,,,,,Male:Male,,,,,,,Male:Female,,,
F36,_,5.13,_,_,_,4.65,_,,_,_,_,_,19.44,18.51,_,,10,_,_,29.9,_,_,_,,_,_,_
F66,5.13,_,_,_,_,5.05,_,,_,_,2.6,_,_,_,_,,11,_,_,_,1.6,33.7,9.4,,_,22.7,_
F104,_,_,_,0.5,,_,_,,_,_,_,_,_,_,_,,12,29.9,_,_,_,_,_,,0.4,_,_
F114,_,_,_,_,_,_,_,,_,_,_,5.82,_,_,_,,2,_,1.6,_,_,26.1,11.5,,4.8,10.4,19.5
F135,_,_,0.5,_,2.89,_,3.94,,_,_,2.04,_,_,_,_,,4,_,33.7,_,26.1,_,19.9,,_,39,3.6
F137,_,_,_,2.89,_,_,7.91,,_,_,0.55,_,_,_,_,,8,_,9.4,_,11.5,19.9,_,,_,13.5,2.7
F146,4.65,5.05,_,_,_,_,_,,0.14,_,0.76,_,_,_,_,,,,,,,,,,,,
F147,_,_,_,3.94,7.91,_,_,,3.73,0.21,4.6,_,_,_,_,,Mean =,4.3 ± 0.86 S.E.,,,,,,Mean =,5.26 ± 1.78 S.E.,,
F200,_,_,_,_,_,_,_,,_,_,_,6.49,_,_,_,,,,,,,,,,,,
F252,_,_,_,_,_,_,_,,_,_,_,_,_,_,3.45,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ID,10,11,12,2,4,8,,13,15,17
Mean =,4.3 ± 0.86 S.E.,,,,,,,Mean =,5.26 ± 1.78 S.E.,,,,,,,,Male:Male,,,,,,,Male:Female,,,
,,,,,,,,,,,,,,,,,Net,7.13,7.05,0.5,4.44,7.91,7.36,,3.97,0.21,6.7
,,,,,,,,,,,,,,,,,Prportion,0.18,0.21,0.06,0.47,1,0.74,,0.39,0.02,0.37
ID,F36,F66,F104,F135,F137,F146,F147,,M14,M67,M69,M112,M119,M215,M255,,,,,,,,,,,,
Female:Female,,,,,,,,Male:Female,,,,,,,,,,,,,,,,,,,
Net,7.13,7.05,0.5,4.44,7.91,7.36,8.96,,3.97,0.21,6.7,12.31,19.44,18.51,3.45,,,,,,,,,,,,
Prportion,0.18,0.21,0.06,0.47,1,0.74,0.32,,0.39,0.02,0.37,0.4,0.54,0.9,0.22,,,,,,,,,,,,
