Year,Gila,Sex,Environment,Home_Range_95kde,N,Home_Range_50kde,N50
2007,F104,female,subsidized,13.84,18,3.69,15
,F36,female,subsidized,16.51,20,4.26,16
,F66,female,subsidized,32.31,22,7.86,17
,M67,male,subsidized,NA,16,8.97,12
,M112,male,subsidized,NA,13,15.42,11
,M14,male,subsidized,14.52,15,3.76,12
,M67,male,subsidized,35.47,14,8.97,10
2008,F104,female,subsidized,13.22,53,2.61,42
,F114,female,subsidized,20.55,52,3.68,38
,F135,female,subsidized,11.36,16,2.19,12
,F137,female,subsidized,20.51,15,5.61,14
,F36,female,subsidized,18.89,54,4.98,41
,F66,female,subsidized,39.3,50,9.97,43
,M119,male,subsidized,47.65,58,12.18,43
2009,F104,female,subsidized,19.11,64,4.63,14
,F114,female,subsidized,20.34,52,4.08,43
,F135,female,subsidized,14.43,62,4.43,50
,F137,female,subsidized,16.94,35,4.99,32
,F147,female,subsidized,39.67,62,9.06,52
,F36,female,subsidized,13.96,67,3.2,52
,F66,female,subsidized,25.9,71,6.35,69
,M112,female,subsidized,NA,18,14.27,17
,M119,male,subsidized,49.53,69,12.55,61
,M69,male,subsidized,NA,NA,NA,NA
,F146,male,subsidized,20.17,43,3.97,31
2010,F114,female,subsidized,21.06,44,6.08,35
,F137,female,subsidized,13.24,45,3.33,13
,F147,female,subsidized,34.73,36,7.13,28
,F200,female,subsidized,20.37,34,4.09,25
,F214,female,subsidized,14.97,27,3.56,24
,F36,female,subsidized,47.49,50,9.73,37
,F66,female,subsidized,47.77,52,7.26,33
,M112,male,subsidized,55.25,26,8.6,21
,M119,male,subsidized,33.88,31,7.14,22
,M69,male,subsidized,37.45,30,10.49,22
,F146,female,subsidized,33.84,9,8.39,7
2011,F114,female,subsidized,13.82,22,2.66,17
,F137,female,subsidized,12.12,33,2.65,25
,F147,female,subsidized,43.8,24,9.66,17
,F200,female,subsidized,23.96,28,6.86,26
,F214,female,subsidized,23.39,22,5.91,18
,F252,female,subsidized,8.55,17,1.94,14
,F36,female,subsidized,34.9,23,8.81,20
,M14,male,subsidized,20.36,12,5.27,10
,M215,male,subsidized,46.26,16,11.74,15
,M255,male,subsidized,30.1,16,8.25,15
2012,F114,female,subsidized,21.04,54,5.41,45
,F137,female,subsidized,7.87,13,1.24,10
,F147,female,subsidized,32.98,52,7.74,36
,F252,female,subsidized,10.09,53,1.83,39
,F36,female,subsidized,27.59,52,7.67,39
,M14,male,subsidized,24.02,13,6.49,10
,M215,male,subsidized,28.52,21,7.31,15
,M255,male,subsidized,32.03,13,8.27,11
